// カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
// cnt,pattern,knd,x座標,y座標,sp,bltime,blknd,blknd2,col,hp,wait,item_n[0],,,,,
:{  60, 0,0,180,-20,0, 60,0,0,0,300,180,0,-1,-1,-1,-1,-1},
:{ 200, 1,0,200,-20,0, 60,0,1,0,300,180,0,-1,-1,-1,-1,-1},
:{ 340, 2,0,180,-20,0, 60,0,2,0,300,180,0,-1,-1,-1,-1,-1},
:{ 480, 3,0,200,-20,0, 60,0,3,0,300,180,0,-1,-1,-1,-1,-1},
:{ 620, 4,0,180,-20,0, 60,0,4,0,300,180,0,-1,-1,-1,-1,-1},
:{ 760, 5,0,200,-20,0, 60,0,5,0,300,180,0,-1,-1,-1,-1,-1},
:{ 900, 6,0,180,-20,0, 60,0,6,0,300,180,0,-1,-1,-1,-1,-1},
:{1040, 7,0,200,100,0, 60,0,7,0,300,180,0,-1,-1,-1,-1,-1},
:{1180, 8,0,180,100,0, 60,0,8,0,300,180,0,-1,-1,-1,-1,-1},
:{1320, 9,0,200,100,0, 60,0,9,0,300,180,0,-1,-1,-1,-1,-1},
:{1460,10,0,180,-20,0,240,0,0,0,300,360,0,-1,-1,-1,-1,-1},
