flag, cnt, entry,pattern,muki,knd,   hp,hp_max,item1,item2,item3,item4,item5,item6,img,   x,   y, vx, vy, sp,ang,bltime,blknd,blknd2,col,state,wtime,wait
//フラグ、カウンタ、登場時間、移動パターン、向き、敵の種類、HP最大値、落とすアイテム、画像、座標、速度x成分、速度y成分、スピード、角度、弾幕開始時間、弾幕の種類、弾の種類、色、状態、待機時間、停滞時間
   0,   0,   100,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 180, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   180,      1,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 200, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   260,      2,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 180, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   340,      3,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 200, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   420,      4,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 180, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   500,      5,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 200, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   580,      6,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 180, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   660,      7,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 200, 150,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   740,      8,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 180, 150,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   820,      9,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 200, 150,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   900,     10,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 180, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
