flag, cnt, entry,pattern,muki,knd,   hp,hp_max,item1,item2,item3,item4,item5,item6,img,   x,   y, vx, vy, sp,ang,bltime,blknd,blknd2,col,state,wtime,wait
//フラグ、カウンタ、登場時間、移動パターン、向き、敵の種類、HP最大値、落とすアイテム、画像、座標、速度x成分、速度y成分、スピード、角度、弾幕開始時間、弾幕の種類、弾の種類、色、状態、待機時間、停滞時間
   0,   0,   100,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0,  50, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   110,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0,  80, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   120,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 110, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   130,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 140, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   140,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 170, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   150,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 200, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   160,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 230, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   170,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 260, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   180,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 290, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
   0,   0,   190,      0,   1,  0,  100,   100,    0,    0,    0,    0,    0,    0,  0, 320, -20,  0,  0,  0,  0,   150,    0,     0,  0,    0,    0, 120
